Ref,Val,Package,PosX,PosY,Rot,Side
"C1","330n","C_0805_2012Metric",88.004000,-16.812000,270.000000,top
"C2","330n","C_0805_2012Metric",96.259000,2.238000,0.000000,top
"C3","330n","C_0805_2012Metric",110.686000,2.238000,180.000000,top
"C4","330n","C_0805_2012Metric",134.359000,2.238000,0.000000,top
"C5","4u7","C_0805_2012Metric",125.977000,-15.770600,270.000000,top
"C6","4u7","C_0805_2012Metric",98.164000,-22.654000,180.000000,top
"C8","10u","C_0805_2012Metric",122.751000,-22.552400,180.000000,top
"C9","4u7","C_0805_2012Metric",116.706000,-22.552400,0.000000,top
"D1","Green","LED_0805_2012Metric",142.704000,2.381000,180.000000,top
"D2","Green","LED_0805_2012Metric",142.592000,-1.556000,180.000000,top
"D3","Green","LED_0805_2012Metric",141.830000,-22.422100,180.000000,top
"D4","Green","LED_0805_2012Metric",141.827000,-20.469600,180.000000,top
"D5","SM4007PL","D_SOD-123F",133.267000,-16.481800,90.000000,top
"D6","Green","LED_0805_2012Metric",129.838000,-22.476200,0.000000,top
"FUSE1","1A","Fuse_1206_3216Metric",130.426000,-16.494200,270.000000,top
"J3","Conn_02x25_Odd_Even","PinHeader_2x25_P2.54mm_Vertical_JLCPCB_hand_mount",82.266000,-30.194500,90.000000,top
"J6","CONNFLY DB-25","L717SDB25PA4CH4F_JLCPCB_hand_mount",96.182000,-34.830000,0.000000,top
"J8","USB_B_Micro","U254051N4BH806_JLCPCB_hand_mount",143.190000,-8.660000,90.000000,top
"R1","2k","R_0402_1005Metric",138.758000,2.444500,0.000000,top
"R2","2k","R_0402_1005Metric",138.758000,3.460500,0.000000,top
"R3","5.1k","R_0402_1005Metric",139.591000,-22.425400,90.000000,top
"R4","2k","R_0402_1005Metric",139.591000,-20.453600,270.000000,top
"R5","10k","R_0402_1005Metric",126.208000,2.231000,270.000000,top
"R6","10k","R_0402_1005Metric",127.478000,2.231000,270.000000,top
"R7","10k","R_0402_1005Metric",129.713000,2.231000,270.000000,top
"R8","10k","R_0402_1005Metric",130.983000,2.231000,270.000000,top
"R9","10k","R_0402_1005Metric",114.461000,2.231000,270.000000,top
"R10","10k","R_0402_1005Metric",115.731000,2.231000,270.000000,top
"R11","10k","R_0402_1005Metric",117.001000,2.231000,270.000000,top
"R12","10k","R_0402_1005Metric",122.132000,2.231000,270.000000,top
"R13","10k","R_0402_1005Metric",123.386000,2.238000,270.000000,top
"R14","10k","R_0402_1005Metric",87.461000,2.231000,270.000000,top
"R15","10k","R_0402_1005Metric",88.731000,2.231000,270.000000,top
"R16","10k","R_0402_1005Metric",90.001000,2.231000,270.000000,top
"R17","10k","R_0402_1005Metric",91.271000,2.231000,270.000000,top
"R18","10k","R_0402_1005Metric",92.541000,2.231000,270.000000,top
"R19","10k","R_0402_1005Metric",100.958000,2.231000,270.000000,top
"R20","10k","R_0402_1005Metric",102.218000,2.231000,270.000000,top
"R21","10k","R_0402_1005Metric",103.488000,2.231000,270.000000,top
"R22","10k","R_0402_1005Metric",104.758000,2.231000,270.000000,top
"R23","5.1k","R_0402_1005Metric",127.602000,-22.476200,270.000000,top
"R24","10k","R_0402_1005Metric",136.698000,-16.354800,180.000000,top
"U1","SN74LS641-1DW","SOIC-20W_7.5x12.8mm_P1.27mm",90.646000,-6.271000,90.000000,top
"U2","SN74LS641-1DW","SOIC-20W_7.5x12.8mm_P1.27mm",104.158000,-6.271000,90.000000,top
"U3","SN74LS641-1DW","SOIC-20W_7.5x12.8mm_P1.27mm",117.671000,-6.271000,90.000000,top
"U4","SN74LS641-1DW","SOIC-20W_7.5x12.8mm_P1.27mm",131.184000,-6.271000,90.000000,top
"U5","UCC5606PWPTR","TSSOP-24_6.1x7.8mm_P0.65mm",119.754000,-17.066000,0.000000,top
"U6","UCC5606PWPTR","TSSOP-24_6.1x7.8mm_P0.65mm",95.370000,-17.066000,0.000000,top
