Comment,Designator,Footprint,LCSC
"330n","C1,C2,C3,C4","Capacitor_SMD:C_0805_2012Metric","C1740"
"4u7","C5,C6,C9","Capacitor_SMD:C_0805_2012Metric","C1779"
"10u","C8","Capacitor_SMD:C_0805_2012Metric","C15850"
"Green","D1,D2,D3,D4,D6","LED_SMD:LED_0805_2012Metric","C2297"
"SM4007PL","D5","Diode_SMD:D_SOD-123F","C64898"
"1A","FUSE1","Fuse:Fuse_1206_3216Metric","C182974"
"Hole1","H1","MountingHole:MountingHole_2.7mm_M2.5_Pad_Via","DNP"
"Hole2","H2","MountingHole:MountingHole_2.7mm_M2.5_Pad_Via","DNP"
"Hole3","H3","MountingHole:MountingHole_2.7mm_M2.5_Pad_Via","DNP"
"Hole5","H4","MountingHole:MountingHole_2.7mm_M2.5_Pad_Via","DNP"
"Hole4","H5","MountingHole:MountingHole_2.7mm_M2.5_Pad_Via","DNP"
"Hole6","H6","MountingHole:MountingHole_2.7mm_M2.5_Pad_Via","DNP"
"Raspberry_Pi_2_3","J1","Connector_PinSocket_2.54mm:PinSocket_2x20_P2.54mm_Vertical","C50982"
"Conn_01x04_Male","J10","Connector_PinHeader_2.00mm:PinHeader_1x04_P2.00mm_Vertical",""
"DNP","J2","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Horizontal","DNP"
"171826-4","J20","SHDRRA4W69P0X250_1X4_1000X1350X670P",""
"Conn_02x25_Odd_Even","J3","amiga:PinHeader_2x25_P2.54mm_Vertical_JLCPCB_hand_mount","C30006"
"I2C Pinout","J4","Connector_PinSocket_2.54mm:PinSocket_1x05_P2.54mm_Vertical","C50950"
"DNP","J5","Connector_PinHeader_2.54mm:PinHeader_2x03_P2.54mm_Vertical","DNP"
"CONNFLY DB-25","J6","SamacSys_Parts:L717SDB25PA4CH4F_JLCPCB_hand_mount","C77838"
"DNP","J7","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","DNP"
"USB_B_Micro","J8","SamacSys_Parts:U254051N4BH806_JLCPCB_hand_mount","C319170"
"Conn_02x25_Odd_Even","J9","Connector_PinHeader_2.00mm:PinHeader_2x25_P2.00mm_Horizontal","C3407"
"SolderJumper_2_Bridged","JP1","Jumper:SolderJumper-2_P1.3mm_Bridged_Pad1.0x1.5mm",""
"Jumper_2_Open","JP2","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Horizontal",""
"PULLUP Power","JP3","Jumper:SolderJumper-3_P1.3mm_Bridged12_RoundedPad1.0x1.5mm","DNP"
"2k","R1,R2,R4","Resistor_SMD:R_0402_1005Metric","C4109"
"10k","R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,R24","Resistor_SMD:R_0402_1005Metric","C25744"
"5.1k","R3,R23","Resistor_SMD:R_0402_1005Metric","C25905"
"TestPoint","TP1,TP2,TP3","TestPoint:TestPoint_Pad_D1.0mm","N/A"
"SN74LS641-1DW","U1,U2,U3,U4","Package_SO:SOIC-20W_7.5x12.8mm_P1.27mm","C1548111"
"UCC5606PWPTR","U5,U6","Package_SO:TSSOP-24_6.1x7.8mm_P0.65mm","C2649373"
"Mac","X1,X3","SamacSys_Parts:mac_happy_small","N/A"
"Pi","X7","SamacSys_Parts:pi_logo","N/A"
"Pi","X8","SamacSys_Parts:scsi_logo","N/A"
